episode,reward,steps,outcome,env,blocks_placed,timestamp
161,13.7629,174,mission_ended,bridging,0,09:34:03
162,15.8885,35,fell,bridging,0,09:34:13
163,26.129,174,mission_ended,bridging,2,09:34:48
164,16.8797,81,fell,bridging,1,09:35:05
165,80.3319,173,mission_ended,bridging,5,09:35:37
166,16.8693,163,fell,bridging,0,09:36:08
167,21.3717,74,fell,bridging,0,09:36:26
168,16.9441,123,fell,bridging,0,09:36:52
169,13.8129,173,mission_ended,bridging,0,09:37:23
170,54.2211,140,fell,bridging,3,09:37:51
171,14.1524,173,mission_ended,bridging,0,09:38:23
172,14.0868,173,mission_ended,bridging,1,09:38:54
173,14.6704,173,mission_ended,bridging,0,09:39:26
174,14.2801,165,mission_ended,bridging,0,09:39:58
175,23.6112,173,mission_ended,bridging,2,09:40:29
176,14.5517,173,mission_ended,bridging,0,09:41:01
177,15.2542,110,fell,bridging,0,09:41:24
178,13.0708,173,mission_ended,bridging,0,09:41:55
179,15.7226,121,fell,bridging,0,09:42:20
180,11.6651,164,mission_ended,bridging,0,09:42:52
181,13.9741,173,mission_ended,bridging,0,09:43:23
182,13.9929,173,mission_ended,bridging,0,09:43:55
183,14.142,174,mission_ended,bridging,0,09:44:30
184,41.5733,173,mission_ended,bridging,1,09:45:01
185,14.3593,173,mission_ended,bridging,0,09:45:33
186,13.4053,164,mission_ended,bridging,0,09:46:08
187,23.737,47,fell,bridging,0,09:46:20
188,33.7032,173,mission_ended,bridging,2,09:46:51
189,14.1829,173,mission_ended,bridging,0,09:47:23
190,51.8399,173,mission_ended,bridging,3,09:47:54
191,14.1495,173,mission_ended,bridging,0,09:48:26
192,41.0939,173,mission_ended,bridging,1,09:48:58
193,24.7016,165,mission_ended,bridging,2,09:49:29
194,61.0735,173,mission_ended,bridging,5,09:50:01
195,14.7112,91,fell,bridging,0,09:50:21
196,13.7462,173,mission_ended,bridging,0,09:50:52
197,15.3124,62,fell,bridging,0,09:51:07
198,13.611,173,mission_ended,bridging,0,09:51:39
199,14.3749,173,mission_ended,bridging,0,09:52:10
200,28.4468,88,fell,bridging,0,09:52:30
