episode,reward,steps,outcome,timestamp
2228,11.6039,14,landed,20:02:34
2229,-3.6,13,fell,20:02:50
2230,-3.5143,12,fell,20:02:56
2231,11.7443,13,landed,20:03:02
2232,-3.6,13,fell,20:03:18
2233,-3.7,14,fell,20:03:24
2234,-3.6,13,fell,20:03:31
2235,-3.5,12,fell,20:03:36
2236,11.3705,17,landed,20:03:43
2237,-3.6418,13,fell,20:03:59
2238,-3.6771,11,fell,20:04:05
2239,-3.6,13,fell,20:04:11
2240,-3.5,12,fell,20:04:17
2241,11.7838,13,landed,20:04:23
2242,-3.8096,13,fell,20:04:39
2243,-3.6,13,fell,20:04:45
2244,-3.6,13,fell,20:04:51
2245,-3.5,12,fell,20:04:57
2246,-3.5,12,fell,20:05:03
2247,-3.667,12,fell,20:05:09
2248,-3.7039,13,fell,20:05:15
2249,-3.6,13,fell,20:05:22
2250,-3.5,12,fell,20:05:27
2251,-3.2,9,fell,20:05:33
2252,-3.4,11,fell,20:05:39
2253,11.3234,17,landed,20:05:46
2254,-3.6914,12,fell,20:06:01
2255,-3.7,14,fell,20:06:07
2256,-3.6,13,fell,20:06:13
2257,-3.7482,12,fell,20:06:19
2258,-3.5,12,fell,20:06:25
2259,-3.6,13,fell,20:06:31
2260,-3.5,12,fell,20:06:37
2261,-3.6,13,fell,20:06:43
2262,-3.6,13,fell,20:06:49
2263,11.2907,18,landed,20:06:56
2264,-3.6069,12,fell,20:07:11
2265,-3.5659,10,fell,20:07:17
2266,-3.7,14,fell,20:07:23
2267,-3.702,12,fell,20:07:29
2268,11.6847,13,landed,20:07:35
2269,11.65,14,landed,20:07:52
2270,-3.7,14,fell,20:08:08
2271,-3.5,12,fell,20:08:14
2272,11.6865,14,landed,20:08:20
2273,11.5449,14,landed,20:08:36
2274,-3.6,13,fell,20:08:43
2275,-3.7028,15,fell,20:08:50
2276,11.5621,15,landed,20:08:56
2277,-3.5,12,fell,20:09:12
2278,-3.6737,10,fell,20:09:18
2279,-3.6,13,fell,20:09:24
2280,-3.7696,13,fell,20:09:30
2281,-3.6069,12,fell,20:09:36
2282,-3.5192,11,fell,20:09:42
2283,11.5176,13,landed,20:09:48
2284,-3.5,12,fell,20:10:04
2285,11.6794,14,landed,20:10:10
2286,-3.6,13,fell,20:10:26
2287,-3.6,13,fell,20:10:32
2288,-4.3382,12,fell,20:10:38
2289,-3.6914,11,fell,20:10:44
2290,-3.5,12,fell,20:10:50
2291,-3.5,12,fell,20:10:56
2292,-3.6,13,fell,20:11:02
2293,-3.4,11,fell,20:11:08
2294,-3.6,13,fell,20:11:14
2295,-3.5549,12,fell,20:11:20
2296,-3.6499,13,fell,20:11:26
2297,-3.5914,11,fell,20:11:32
2298,-3.5686,11,fell,20:11:38
2299,11.6983,13,landed,20:11:44
2300,-4.1164,18,fell,20:12:01
2301,-3.4467,11,fell,20:12:07
2302,-4.435,18,fell,20:12:13
2303,-3.6,13,fell,20:12:20
2304,-3.6,13,fell,20:12:26
2305,-3.4791,11,fell,20:12:31
2306,-3.6,13,fell,20:12:37
2307,-3.6,13,fell,20:12:44
2308,-3.6,13,fell,20:12:50
2309,-3.4728,11,fell,20:12:55
2310,11.6529,14,landed,20:13:02
2311,-3.5812,12,fell,20:13:17
2312,-3.6,13,fell,20:13:23
2313,-3.7,14,fell,20:13:30
2314,-3.6,13,fell,20:13:36
2315,-3.413,11,fell,20:13:42
2316,-3.5,12,fell,20:13:48
