episode,reward,steps,outcome,timestamp
235,-5.309,19,fell,10:36:40
236,-5.1112,12,fell,10:36:46
237,-5.3723,5,fell,10:36:51
238,-4.9978,16,fell,10:36:58
239,-4.7643,8,fell,10:37:03
240,-5.1307,23,fell,10:37:11
241,-5.6661,15,fell,10:37:17
242,-5.5312,9,fell,10:37:23
243,-6.5393,22,fell,10:37:31
244,-4.4533,18,fell,10:37:38
245,-6.7918,23,fell,10:37:45
246,-4.6,18,fell,10:37:52
247,-5.3953,25,fell,10:38:01
248,-4.3042,15,fell,10:38:07
249,-5.8678,16,fell,10:38:14
250,11.6782,8,landed,10:38:19
251,-5.148,25,fell,10:38:38
252,-6.2715,16,fell,10:38:45
253,-4.6324,18,fell,10:38:52
254,10.7579,18,landed,10:38:59
255,-4.6207,14,fell,10:39:06
256,-4.3,15,fell,10:39:13
257,-5.0259,17,fell,10:39:19
258,-4.5966,14,fell,10:39:26
259,-4.9158,18,fell,10:39:33
260,-5.1066,21,fell,10:39:40
261,-4.2,14,fell,10:39:46
262,11.1253,13,landed,10:39:53
263,-3.8,10,fell,10:39:59
264,-5.0086,12,fell,10:40:05
265,-5.1673,14,fell,10:40:11
266,-4.8072,8,fell,10:40:17
267,-4.5104,12,fell,10:40:23
268,-5.1796,22,fell,10:40:30
269,-5.6845,22,fell,10:40:38
270,10.7581,17,landed,10:40:45
271,-4.0947,11,fell,10:41:00
272,-5.4642,9,fell,10:41:05
273,-4.6659,13,fell,10:41:11
274,-5.015,23,fell,10:41:19
275,-4.7371,11,fell,10:41:25
276,-5.5314,20,fell,10:41:32
277,-5.1191,7,fell,10:41:37
278,11.042,15,landed,10:41:44
279,10.5444,20,landed,10:42:01
280,-4.3,15,fell,10:42:16
281,-4.3,15,fell,10:42:22
282,-4.5962,18,fell,10:42:29
283,-4.4986,8,fell,10:42:35
284,11.2596,12,landed,10:42:41
285,-5.1232,12,fell,10:42:57
286,-5.2676,9,fell,10:43:02
287,-5.3176,8,fell,10:43:07
288,-4.5,17,fell,10:43:14
289,-5.0775,12,fell,10:43:21
290,-4.158,16,fell,10:43:28
291,11.5765,8,landed,10:43:33
292,-5.1272,12,fell,10:43:49
293,-4.5984,20,fell,10:43:57
294,-4.8608,22,fell,10:44:04
295,-4.1,13,fell,10:44:11
296,-5.1,23,fell,10:44:19
297,-4.0,12,fell,10:44:25
298,-4.9,21,fell,10:44:32
299,-4.1379,15,fell,10:44:38
300,-4.5135,18,fell,10:44:45
301,-4.9574,12,fell,10:44:52
302,-3.876,14,fell,10:44:58
303,11.0878,14,landed,10:45:04
304,-6.5428,16,fell,10:45:21
305,-4.9721,7,fell,10:45:26
306,-4.4,16,fell,10:45:32
307,-5.0956,14,fell,10:45:39
308,-7.0518,30,fell,10:45:48
309,-4.377,15,fell,10:45:54
310,-5.9637,28,fell,10:46:03
311,-4.5,17,fell,10:46:09
312,-4.3965,16,fell,10:46:16
313,-4.7542,17,fell,10:46:23
314,-4.3375,15,fell,10:46:30
315,10.3062,22,landed,10:46:37
316,-4.7983,13,fell,10:46:52
317,-5.1195,6,fell,10:46:57
318,-5.4036,14,fell,10:47:03
319,-5.0408,10,fell,10:47:08
320,-4.5137,12,fell,10:47:14
321,-4.4151,16,fell,10:47:22
322,-4.5299,17,fell,10:47:29
323,-4.9294,13,fell,10:47:35
324,-4.7,19,fell,10:47:42
325,11.2126,12,landed,10:47:48
326,-4.4851,14,fell,10:48:04
327,-3.8,10,fell,10:48:10
328,11.3664,12,landed,10:48:16
329,-4.2,14,fell,10:48:32
330,-4.1208,15,fell,10:48:39
331,-4.3928,15,fell,10:48:45
332,-4.6232,18,fell,10:48:52
333,-5.5011,12,fell,10:48:58
334,-4.9412,7,fell,10:49:04
335,-4.5086,13,fell,10:49:10
336,-4.3,15,fell,10:49:16
337,-4.7884,19,fell,10:49:23
338,-3.8,10,fell,10:49:29
339,-4.7432,8,fell,10:49:34
340,-4.0,12,fell,10:49:40
341,-4.4244,12,fell,10:49:46
342,-4.0,12,fell,10:49:52
343,-4.2,14,fell,10:49:58
344,11.0794,15,landed,10:50:05
345,-4.606,18,fell,10:50:22
346,-4.1,13,fell,10:50:28
347,10.3545,22,landed,10:50:36
348,-4.5,17,fell,10:50:51
349,-4.4,16,fell,10:50:58
350,-4.2351,15,fell,10:51:04
351,-5.4291,11,fell,10:51:10
352,-4.247,11,fell,10:51:16
353,-4.3876,18,fell,10:51:23
354,11.0901,13,landed,10:51:29
355,-4.2,14,fell,10:51:45
356,-4.8193,21,fell,10:51:52
357,-4.5594,12,fell,10:51:59
358,-4.3556,14,fell,10:52:05
359,-4.6565,13,fell,10:52:12
360,-4.427,12,fell,10:52:18
361,-5.1751,14,fell,10:52:24
362,-4.0201,15,fell,10:52:31
363,-4.9832,21,fell,10:52:38
364,-4.7181,11,fell,10:52:44
365,-5.1251,22,fell,10:52:52
366,-4.3,15,fell,10:52:58
367,-4.0,12,fell,10:53:04
368,-4.0,12,fell,10:53:10
369,-4.5229,14,fell,10:53:16
370,11.1667,12,landed,10:53:22
371,-4.043,15,fell,10:53:39
372,-4.7103,10,fell,10:53:44
373,-4.9107,12,fell,10:53:50
374,-4.2,14,fell,10:53:57
375,-5.2042,19,fell,10:54:04
376,-4.0,12,fell,10:54:10
377,-5.3,25,fell,10:54:18
378,10.9927,16,landed,10:54:25
379,10.7508,15,landed,10:54:40
380,11.3696,12,landed,10:54:47
381,-4.2,14,fell,10:55:03
382,-4.2,14,fell,10:55:09
383,-4.6851,22,fell,10:55:17
384,-5.4945,10,fell,10:55:23
385,10.8584,17,landed,10:55:29
386,-4.7524,13,fell,10:55:36
387,-4.1938,13,fell,10:55:42
388,-3.9,11,fell,10:55:48
389,-4.4548,14,fell,10:55:55
390,-4.3584,17,fell,10:56:01
391,-4.657,15,fell,10:56:08
392,-4.7,19,fell,10:56:15
393,-4.2213,11,fell,10:56:21
394,-4.6,18,fell,10:56:28
395,-4.4955,11,fell,10:56:34
396,11.3664,12,landed,10:56:40
397,11.0957,14,landed,10:56:56
398,10.7301,16,landed,10:57:03
399,-4.3592,9,fell,10:57:18
400,-4.2,14,fell,10:57:24
401,-4.3,15,fell,10:57:31
402,-4.8752,14,fell,10:57:37
403,-4.0,12,fell,10:57:43
404,11.3423,12,landed,10:57:49
405,11.4352,10,landed,10:58:05
406,-4.6,18,fell,10:58:22
407,-3.8,10,fell,10:58:28
408,-4.9508,13,fell,10:58:34
409,-5.6157,19,fell,10:58:41
410,-4.2144,13,fell,10:58:47
411,-4.5706,11,fell,10:58:53
412,11.1107,14,landed,10:58:59
413,-4.3238,19,fell,10:59:16
414,-4.1,13,fell,10:59:22
415,-5.0357,14,fell,10:59:28
416,-4.1,13,fell,10:59:34
417,11.3997,12,landed,10:59:40
418,-4.4286,16,fell,10:59:57
419,-4.5,17,fell,11:00:04
420,-5.0704,16,fell,11:00:11
421,11.1568,14,landed,11:00:17
422,-4.401,16,fell,11:00:33
423,11.3991,12,landed,11:00:39
424,10.9216,16,landed,11:00:56
425,-4.4,16,fell,11:01:12
426,10.3608,22,landed,11:01:20
427,-4.9647,8,fell,11:01:34
428,11.2112,13,landed,11:01:40
429,-4.3509,13,fell,11:01:47
430,-5.2563,10,fell,11:01:52
431,11.1451,11,landed,11:01:58
432,-3.8783,11,fell,11:02:14
433,-4.0,12,fell,11:02:20
434,-4.4284,18,fell,11:02:27
