# env: bridging
# spawn: 0.5,46.0,1.5
# goal: 0.5,46.0,7.5
episode,step,x,y,z,yaw,pitch,on_ground,action,reward,done,outcome,env
1,50,0.4961,46.0,1.1553,332.64,6.12,0,turn_right,-0.02,0,alive,bridging
1,51,0.4961,46.0,1.1553,350.64,6.12,0,turn_right,-0.02,0,alive,bridging
1,52,0.4961,46.0,1.1553,359.64,6.12,0,turn_right,-0.02,0,alive,bridging
1,53,0.4961,46.0,1.1553,17.82,6.12,0,move_forward,-0.02,0,alive,bridging
1,54,0.5138,46.0,1.1822,17.82,6.12,0,turn_left,-0.02,0,alive,bridging
1,55,0.4834,46.0,1.2904,17.82,6.12,0,move_backward,-0.02,0,alive,bridging
1,56,0.4972,46.0,1.2546,17.82,14.94,0,look_down,-0.02,0,alive,bridging
1,57,0.511,46.0,1.2117,37.08,33.12,0,turn_right,-0.02,0,alive,bridging
1,58,0.511,46.0,1.2117,55.08,33.12,0,turn_right,-0.02,0,alive,bridging
1,59,0.511,46.0,1.2117,55.08,33.12,0,move_forward,-0.02,0,alive,bridging
1,60,0.4498,46.0,1.2356,55.08,43.74,0,look_down,-0.02,0,alive,bridging
1,61,0.4071,46.0,1.2654,64.08,61.56,0,turn_right,-0.02,0,alive,bridging
1,62,0.4071,46.0,1.2654,82.08,43.74,0,look_up,-0.02,0,alive,bridging
1,63,0.3895,46.0,1.3066,82.08,25.74,0,strafe_left,-0.02,0,alive,bridging
1,64,0.3911,46.0,1.3473,90.9,25.74,0,turn_right,-0.02,0,alive,bridging
1,65,0.3911,46.0,1.3473,110.52,25.74,0,look_up,-0.02,0,alive,bridging
1,66,0.3911,46.0,1.3473,119.34,25.74,0,turn_right,-0.02,0,alive,bridging
1,67,0.3911,46.0,1.3473,137.34,25.74,0,look_up,-0.02,0,alive,bridging
1,68,0.3911,46.0,1.3473,137.34,25.74,0,move_forward,-0.02,0,alive,bridging
1,69,0.3597,46.0,1.3268,137.34,25.74,0,move_backward,-0.02,0,alive,bridging
1,70,0.3309,46.0,1.2956,146.52,25.74,0,turn_right,-0.02,0,alive,bridging
1,71,0.3505,46.0,1.3301,164.52,25.74,0,place_block,-0.02,0,alive,bridging
1,72,0.3505,46.0,1.3301,164.52,16.74,0,look_up,-0.02,0,alive,bridging
